fill_model,entry_time_utc,entry_time_dubai,pnl_cents,cum_pnl_cents,param_id,parameter_set,is_in_sample_visual
actual_bid_ask,2026-01-23 12:35:15,2026-01-23 16:35:15,54.445550994873045,1863.5886245727538,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-02 07:10:04,2025-01-02 11:10:04,70.00133575439453,70.00133575439453,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-03 08:26:25,2025-01-03 12:26:25,-27.039986267089844,42.96134948730469,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-07 07:15:16,2025-01-07 11:15:16,-83.04530517578125,-40.083955688476564,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-10 07:07:59,2025-01-10 11:07:59,138.9008169555664,98.81686126708983,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-13 07:02:10,2025-01-13 11:02:10,-5.24346435546875,93.57339691162109,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-14 07:02:10,2025-01-14 11:02:10,-17.72082733154297,75.85256958007811,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-15 07:07:27,2025-01-15 11:07:27,20.790386352539063,96.64295593261718,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-16 07:06:10,2025-01-16 11:06:10,63.2088916015625,159.85184753417968,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-17 07:04:46,2025-01-17 11:04:46,-22.256481323242188,137.5953662109375,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-20 07:02:00,2025-01-20 11:02:00,-32.225091552734376,105.37027465820312,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-21 07:09:05,2025-01-21 11:09:05,98.30873901367187,203.679013671875,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-22 07:18:01,2025-01-22 11:18:01,-98.15689483642578,105.5221188354492,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-23 07:46:46,2025-01-23 11:46:46,54.34969482421875,159.87181365966796,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-01-24 07:12:13,2025-01-24 11:12:13,43.86732208251953,203.7391357421875,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-02-03 07:02:09,2025-02-03 11:02:09,-30.059427185058595,173.6797085571289,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-02-04 07:17:37,2025-02-04 11:17:37,-27.01318634033203,146.66652221679686,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-02-11 07:07:28,2025-02-11 11:07:28,39.945030517578125,186.61155273437498,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-02-13 07:04:34,2025-02-13 11:04:34,14.023616943359375,200.63516967773435,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-02-14 07:02:00,2025-02-14 11:02:00,-7.010291442871093,193.62487823486327,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-02-17 07:07:15,2025-02-17 11:07:15,-8.990718688964844,184.63415954589843,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-02-18 07:29:30,2025-02-18 11:29:30,-20.01761688232422,164.6165426635742,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-02-19 07:02:57,2025-02-19 11:02:57,5.952633666992187,170.5691763305664,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-02-20 07:13:40,2025-02-20 11:13:40,17.456183166503905,188.0253594970703,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-02-21 07:56:09,2025-02-21 11:56:09,38.45309143066406,226.47845092773434,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-03-04 07:10:59,2025-03-04 11:10:59,-0.8381356811523437,225.64031524658202,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-03-05 07:02:01,2025-03-05 11:02:01,-99.34243377685547,126.29788146972655,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-03-07 07:07:35,2025-03-07 11:07:35,90.71095581054688,217.00883728027344,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-03-10 07:02:00,2025-03-10 11:02:00,39.19261688232422,256.20145416259766,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-03-11 07:02:50,2025-03-11 11:02:50,-68.27407806396485,187.9273760986328,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-03-12 07:02:14,2025-03-12 11:02:14,-66.78213897705078,121.14523712158201,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-03-14 07:07:34,2025-03-14 11:07:34,-14.324786376953124,106.82045074462889,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-03-17 07:02:00,2025-03-17 11:02:00,25.652566223144532,132.47301696777342,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-03-18 07:17:42,2025-03-18 11:17:42,37.139952697753905,169.61296966552732,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-03-19 07:02:42,2025-03-19 11:02:42,19.19235900878906,188.8053286743164,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-03-21 07:11:29,2025-03-21 11:11:29,-61.38730834960938,127.41802032470702,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-03-24 07:02:40,2025-03-24 11:02:40,53.11255584716797,180.530576171875,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-04-01 07:22:31,2025-04-01 11:22:31,5.008383178710938,185.5389593505859,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-04-02 07:09:55,2025-04-02 11:09:55,17.031094970703126,202.57005432128904,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-04-03 07:02:10,2025-04-03 11:02:10,98.59313903808594,301.163193359375,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-04-04 07:02:00,2025-04-04 11:02:00,319.2363220214844,620.3995153808594,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-04-07 07:02:00,2025-04-07 11:02:00,42.96178314208984,663.3612985229493,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-04-08 07:02:24,2025-04-08 11:02:24,68.9031967163086,732.2644952392578,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-04-09 07:11:09,2025-04-09 11:11:09,165.06052368164063,897.3250189208984,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-04-10 07:03:09,2025-04-10 11:03:09,-112.10072204589844,785.224296875,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-04-11 07:02:15,2025-04-11 11:02:15,59.439293212890625,844.6635900878906,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-04-14 07:02:00,2025-04-14 11:02:00,-96.08571868896485,748.5778713989258,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-04-15 07:08:29,2025-04-15 11:08:29,-71.61348114013671,676.9643902587891,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
mid_dynamic_cost,2025-04-16 07:03:10,2025-04-16 11:03:10,106.43263366699219,783.3970239257812,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
