label,delay_s,threshold_cents,lookback_s,hold_s,volume_window_s,volume_multiple,direction,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,selector_objective,train_start,train_end,test_start,test_end
a=60s | move=10c/60s | hold=21600s | vol>2x/300s | momentum,60,10.0,60,21600,300,2.0,momentum,474.00000000000273,474.00000000000273,6.155844155844191,2.735717293720455,4.507799052908575,-158.9999999999997,0.4675324675324675,0.8051948051948052,77,62,0.5806451612903226,7.6451612903226245,1.707462686567168,25,37,0.8051948051948052,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=5s | move=20c/60s | hold=14400s | vol off | momentum,5,20.0,60,14400,300,0.0,momentum,361.9999999999965,361.9999999999965,4.701298701298655,2.2141574636891046,3.843648599908901,-130.99999999999986,0.2597402597402597,0.4935064935064935,77,38,0.5263157894736842,9.52631578947359,1.7239999999999842,14,24,0.4935064935064935,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=1s | move=10c/30s | hold=21600s | vol>2x/300s | momentum,1,10.0,30,21600,300,2.0,momentum,350.00000000000057,350.00000000000057,4.545454545454553,1.900119477538495,2.968656037317692,-243.00000000000003,0.4025974025974026,0.7792207792207793,77,60,0.5166666666666667,5.833333333333343,1.4768392370572205,24,36,0.7792207792207793,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=120s | move=10c/30s | hold=21600s | vol>2x/300s | momentum,120,10.0,30,21600,300,2.0,momentum,345.9999999999935,345.9999999999935,4.493506493506409,1.8374328950228405,2.8252046765462753,-230.00000000000261,0.42857142857142855,0.7792207792207793,77,60,0.55,5.766666666666558,1.4453024453024332,24,36,0.7792207792207793,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=120s | move=20c/60s | hold=10800s | vol>2x/300s | momentum,120,20.0,60,10800,300,2.0,momentum,337.99999999999494,337.99999999999494,4.389610389610324,2.107731808881228,4.424774967400461,-111.0000000000017,0.22077922077922077,0.4805194805194805,77,37,0.4594594594594595,9.135135135134997,1.725321888411998,10,27,0.4805194805194805,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=120s | move=20c/60s | hold=14400s | vol off | momentum,120,20.0,60,14400,300,0.0,momentum,330.0000000000001,330.0000000000001,4.285714285714287,2.036272057081956,4.093017614243733,-112.00000000000009,0.24675324675324675,0.4935064935064935,77,38,0.5,8.684210526315793,1.6734693877550966,14,24,0.4935064935064935,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=30s | move=20c/60s | hold=14400s | vol>2x/300s | momentum,30,20.0,60,14400,300,2.0,momentum,329.00000000000273,329.00000000000273,4.272727272727308,2.0428851255753817,4.093893888934175,-105.00000000000023,0.19480519480519481,0.44155844155844154,77,34,0.4411764705882353,9.676470588235375,1.6940928270042208,10,24,0.44155844155844154,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=10s | move=20c/60s | hold=14400s | vol>2x/300s | momentum,10,20.0,60,14400,300,2.0,momentum,312.99999999999875,312.99999999999875,4.064935064935049,1.947964790127059,3.6204625737949416,-109.99999999999994,0.19480519480519481,0.44155844155844154,77,34,0.4411764705882353,9.20588235294114,1.6507276507276403,10,24,0.44155844155844154,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=60s | move=20c/60s | hold=14400s | vol>2x/300s | momentum,60,20.0,60,14400,300,2.0,momentum,312.99999999999875,312.99999999999875,4.064935064935049,1.9344886501391563,3.9349491135509433,-118.99999999999886,0.19480519480519481,0.44155844155844154,77,34,0.4411764705882353,9.20588235294114,1.6480331262939873,10,24,0.44155844155844154,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=1s | move=20c/60s | hold=14400s | vol>2x/300s | momentum,1,20.0,60,14400,300,2.0,momentum,287.9999999999974,287.9999999999974,3.7402597402597064,1.8196567191493345,3.3768826590642056,-107.00000000000125,0.19480519480519481,0.44155844155844154,77,34,0.4411764705882353,8.470588235294041,1.5950413223140372,10,24,0.44155844155844154,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=30s | move=20c/120s | hold=21600s | vol off | momentum,30,20.0,120,21600,300,0.0,momentum,280.9999999999997,280.9999999999997,3.649350649350646,1.5027149167695841,2.177159608274556,-266.0000000000026,0.2597402597402597,0.5064935064935064,77,39,0.5128205128205128,7.205128205128198,1.4329738058551573,12,27,0.5064935064935064,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=5s | move=20c/60s | hold=14400s | vol>2x/300s | momentum,5,20.0,60,14400,300,2.0,momentum,280.9999999999952,280.9999999999952,3.649350649350587,1.7639697535228605,3.3561535792980797,-115.00000000000108,0.19480519480519481,0.44155844155844154,77,34,0.4411764705882353,8.2647058823528,1.5734693877550836,10,24,0.44155844155844154,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
