label,delay_s,threshold_cents,lookback_s,hold_s,volume_window_s,volume_multiple,direction,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day
a=7s | move=77.5c/75s | hold=16200s | vol off | momentum,7,77.5,75,16200,300,0.0,momentum,4779.999999999997,4779.999999999997,67.3239436619718,4.92100878956677,18.3008559795905,-142.99999999999818,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,227.61904761904748,33.08053691275165,8,13,0.29577464788732394
a=5s | move=85c/75s | hold=16200s | vol off | momentum,5,85.0,75,16200,300,0.0,momentum,4707.000000000001,4707.000000000001,66.29577464788734,4.867787663203,41.342679153861454,-52.999999999999545,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,224.1428571428572,68.24285714285575,8,13,0.29577464788732394
a=1s | move=85c/75s | hold=16200s | vol off | momentum,1,85.0,75,16200,300,0.0,momentum,4707.0,4707.0,66.29577464788733,4.944237277986658,0.0,-30.999999999999545,0.28169014084507044,0.29577464788732394,71,21,0.9523809523809523,224.14285714285714,152.83870967741638,8,13,0.29577464788732394
a=10s | move=75c/75s | hold=16200s | vol off | momentum,10,75.0,75,16200,300,0.0,momentum,4703.0,4703.0,66.2394366197183,4.9041414283611875,18.98922403566343,-144.9999999999991,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,223.95238095238096,31.538961038960807,8,13,0.29577464788732394
a=1s | move=77.5c/75s | hold=16200s | vol off | momentum,1,77.5,75,16200,300,0.0,momentum,4702.000000000004,4702.000000000004,66.2253521126761,4.858284880071322,13.894910911631671,-158.9999999999991,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,223.90476190476207,30.572327044025158,8,13,0.29577464788732394
a=1s | move=70c/75s | hold=16200s | vol off | momentum,1,70.0,75,16200,300,0.0,momentum,4690.0,4690.0,66.05633802816901,4.829020645490111,19.659840478365403,-161.9999999999991,0.2535211267605634,0.30985915492957744,71,22,0.8181818181818182,213.18181818181822,20.142857142857128,9,13,0.30985915492957744
a=5s | move=75c/75s | hold=16200s | vol off | momentum,5,75.0,75,16200,300,0.0,momentum,4688.000000000003,4688.000000000003,66.02816901408454,4.8396859458623185,18.762151581288247,-142.99999999999955,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,223.23809523809535,31.051282051281916,8,13,0.29577464788732394
a=10s | move=72.5c/75s | hold=16200s | vol off | momentum,10,72.5,75,16200,300,0.0,momentum,4681.999999999998,4681.999999999998,65.94366197183096,4.874741234386706,23.112941093445457,-144.9999999999991,0.2535211267605634,0.30985915492957744,71,22,0.8181818181818182,212.81818181818173,24.409999999999833,8,14,0.30985915492957744
a=3s | move=70c/75s | hold=16200s | vol off | momentum,3,70.0,75,16200,300,0.0,momentum,4680.000000000002,4680.000000000002,65.91549295774651,4.818158091035155,19.48791844833518,-161.99999999999955,0.2535211267605634,0.30985915492957744,71,22,0.8181818181818182,212.72727272727278,20.663865546218414,9,13,0.30985915492957744
a=5s | move=80c/75s | hold=16200s | vol off | momentum,5,80.0,75,16200,300,0.0,momentum,4675.000000000004,4675.000000000004,65.84507042253526,4.784866825905422,20.44585897254997,-142.99999999999955,0.23943661971830985,0.29577464788732394,71,21,0.8095238095238095,222.61904761904776,29.680981595091882,8,13,0.29577464788732394
a=3s | move=80c/75s | hold=16200s | vol off | momentum,3,80.0,75,16200,300,0.0,momentum,4675.000000000001,4675.000000000001,65.84507042253523,4.823585453246705,17.797375117558467,-147.9999999999991,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,222.61904761904762,30.037267080745252,8,13,0.29577464788732394
